id,name,description
7325,Sinister Gaze,"CHANNELED - Hypnotizes an enemy unit, causing it to move towards a point between the two of you and drains a percentage of its current mana."
8028,Ice Spire,"Creates an icicle at the target spot for %duration% seconds, slowing enemies within %aura_radius% range by %bonus_movespeed%%%. Has 800 health.<br><br>Chain Frost can bounce to the Icicle if there are no other enemies in range.<br><br>Can cast Frost Shield on it."
5137,Chain Frost,"Releases an orb of frost that bounces between nearby enemy units up to %jumps% times, slowing and damaging each time it hits. Each bounce increases the damage for the subsequent bounces."
5142,Smoke Screen,"Throws down a smoke bomb, silencing enemies, and causing them to miss attacks."
5143,Blink Strike,"Teleports behind the target unit, striking for bonus damage if it is an enemy."
5145,Tricks of the Trade,Riki phases out of the world while striking random enemy units from behind in an area around him.
550,Sleeping Dart,"Fires a dart at the target enemy, putting them to sleep for %duration% seconds or if they take 200 damage. At the end of the duration, the target wakes up and takes %damage% damage, and is slowed by %movement_slow%%% for %debuff_duration% seconds. Cast Range: 1000"
5144,Cloak and Dagger,"Riki fades into the shadows, becoming invisible. Every time Riki strikes his enemy from behind, he deals bonus damage based on his Agility. When Riki attacks, he becomes visible."
5146,Malefice,"Focuses Enigma's power on a target, causing it to take damage and become repeatedly stunned for multiple instances.  An instance strikes every %tick_rate% seconds."
5147,Demonic Conversion,"Transforms a creep into three fragments of Enigma himself.  These eidolons are all under Enigma's control, and repeated successful attacks cause them to multiply.  When this happens, the eidolons have their health restored."
5148,Midnight Pulse,"Steeps an area in dark resonance, damaging enemy units based on their max HP."
5149,Black Hole,"CHANNELED - Summons a vortex that sucks in nearby enemy units.  Enemies affected by Black Hole cannot move, attack, or cast spells."
5150,Laser,"Fires an intense energy beam, dealing damage to the target and all enemy units around it. The main target is blinded, causing them to miss all physical attacks."
5151,Heat-Seeking Missile,Launches rockets at the nearest visible heroes within %radius% range.
650,Defense Matrix,"Targets an allied unit, applying a barrier to them that blocks some damage and provides Status Resistance."
5152,March of the Machines,Enlists an army of robotic minions to destroy enemy units in an area around Tinker.
4646,Keen Conveyance,After channeling for %abilitychanneltime%s teleport to a target friendly structure. Level 2 allows teleporting to friendly units and Level 3 to friendly heroes.
5153,Rearm,CHANNELED - Resets the cooldown on most of Tinker's items and abilities.
5154,Shrapnel,Consumes a charge to launch a ball of shrapnel that showers the target area in explosive pellets. Enemies are subject to damage and slowed movement. Reveals the targeted area. Shrapnel charges restore every %abilitychargerestoretime% seconds.
5155,Headshot,"Sniper increases his accuracy, giving him a chance to deal extra damage and briefly knocks back his enemies."
5156,Take Aim,Extends the attack range of Sniper's rifle. Can be activated to provide %headshot_chance%%% Headshot chance for 3 seconds. Slows you by %slow%%% for the duration.
694,Concussive Grenade,"Grants Concussive Grenade. Deals 125 damage, knocking enemies back 475 distance, slowing them by 50%% and disarming them for 3 seconds. Radius: 375. Knocks you back 475 units on cast."
5157,Assassinate,"Sniper locks onto a target enemy unit and, after a short aiming duration, fires a devastating shot that deals damage at long range and mini-stuns the target."
5158,Death Pulse,"Necrophos releases a wave of death around him, dealing damage to enemy units and healing allied units."
5160,Ghost Shroud,"Necrophos slips into the realm that separates the living from the dead. Unable to attack or be attacked, he emits an aura that slows enemies around him. He takes additional magic damage in this form, but his restorative powers are amplified."
5159,Heartstopper Aura,"Necrophos stills the hearts of his opponents, causing nearby enemy units to lose a percentage of their max health over time. Passively provides regen for %regen_duration% seconds for each unit Necrophos kills."
661,Death Seeker,"Spawns a fast moving large Death Pulse towards the target enemy or ally, causing the target to become ethereal for 2.5 seconds. Reduces enemy magic resistance by 25%. Spreads towards nearby enemies and allies after impact."
5161,Reaper's Scythe,"Stuns the target enemy hero, then deals damage based on how much life it is missing. Heroes killed by Reaper's Scythe will have %respawn_constant% seconds added to their respawn timer. Any kill under this effect is credited to Necrophos."
5162,Fatal Bonds,"Binds several enemy units together, causing a percentage of the damage dealt to one of them to be felt by the others."
5163,Shadow Word,"Warlock whispers an incantation, healing a friendly unit or damaging an enemy unit over time."
5164,Upheaval,CHANNELED - A powerful slowing current that grows stronger as it's channelled. Lasts up to %abilitychanneltime% seconds.  Enemies are slowed for %duration% seconds after leaving the area or the spell ends.
5165,Chaotic Offering,"Summons a Golem from the depths, stunning enemies for one second. The Golem lives %golem_duration% seconds, takes reduced damage from spells, has Permanent Immolation and Flaming Fists on attack."
5168,Wild Axes,"Beastmaster sends his axes flying and calls them home again, slicing through enemy units and trees along their path.  Each axe can hit an enemy once, and amplifies subsequent damage from Beastmaster and his units."
7230,Call of the Wild Boar,Beastmaster calls forth a Boar to aid in the battlefield.
7231,Call of the Wild Hawk,Beastmaster sends an invisible Hawk to scout an area.
5172,Inner Beast,"Untaps the inner fury of nearby allies, passively increasing their attack speed."
5177,Primal Roar,"Beastmaster lets loose a deafening roar that stuns, and shoves open a path to its target. All units in the path of the roar are damaged, while units shoved aside by the roar have their movement and attack speed slowed. Additionally, Beastmaster and his units gain %movement_speed%%% movement speed for 3 seconds."
5173,Shadow Strike,"Hurls a poisoned dagger which deals large initial damage, and then deals damage over time. The poisoned unit has its movement speed slowed for %duration% seconds.  An instance of damage is dealt every %damage_interval% seconds. Queen of Pain relishes in the pain inflicted, healing every time the enemy takes damage. Creeps heal for half the damage only."
5174,Blink,Short distance teleportation that allows Queen of Pain to move in and out of combat.
5175,Scream Of Pain,"The Queen of Pain lets loose a piercing scream around her, damaging nearby enemies."
5176,Sonic Wave,"Creates a gigantic wave of sound in front of Queen of Pain, dealing heavy damage to all enemy units in its wake and pushing them back."
5178,Venomous Gale,"Launches a ball of venom in a line, poisoning enemy units so that they take both initial damage and damage over time, as well as suffering slowed movement.  Venomous Gale deals damage every 3 seconds over its duration."
5179,Poison Sting,Adds poison damage to Venomancer's normal attacks and slowing movement speed.
5180,Plague Ward,"Summons a plague ward to attack enemy units and structures. The ward is immune to magic. Wards gain the Poison Sting level from Venomancer, dealing 50% of the full damage."
5181,Poison Nova,A spreading ring of poison that does damage over time to enemy units around Venomancer.  Poison Nova cannot deal lethal damage; targets will be left with at least 1 health.
5182,Time Walk,Rushes to a target location while backtracking any damage taken the last %backtrack_duration% seconds.
5691,Time Dilation,"Faceless Void traps all nearby enemies in a time dilation field for %duration% seconds, extending their cooldowns and slowing their movement and attack speed by %slow%%% for each cooldown extended. Deals damage per second for each cooldown."
5184,Time Lock,Adds the chance for an attack to lock an enemy unit in time while attacking it a second time.
8030,Reverse Time Walk,"Replaces Time Walk with Reverse Time Walk for 1.5 seconds after landing. If used in this period, you will reverse your time walk back to your previous cast location. Does not affect health or proc scepter hits."
5185,Chronosphere,"Creates a blister in spacetime, trapping all units caught in its sphere of influence and causes you to move very quickly inside it.  Only Faceless Void and any units he controls are unaffected.  Invisible enemies in the sphere will be revealed."
5086,Wraithfire Blast,"Wraith King sears an enemy unit with spectral fire, dealing damage and stunning, then dealing damage over time and slowing the target."
5087,Vampiric Spirit,Restore health based on the damage Wraith King deals when attacking enemy units. Can be cast to summon skeletons with Vampiric Spirit. Every two kills on an enemy unit adds a skeleton charge. Skeletons respawn once when killed. 
5088,Mortal Strike,Wraith King passively deals bonus damage on an attack with a cooldown. 
5089,Reincarnation,"Wraith King's form regroups after death, allowing him to resurrect when killed in battle.  Upon death, enemy units in a %slow_radius% radius will be slowed."
5090,Crypt Swarm,Sends a swarm of winged beasts to savage enemy units in front of Death Prophet.
5091,Silence,Fires a projectile that prevents enemy units in a target area from casting spells.
5685,Spirit Siphon,"Creates a spirit link between Death Prophet and an enemy unit, draining health from the enemy."
5093,Exorcism,"Unleashes evil spirits to drain the life of nearby enemy units and structures. At the end of the spell's duration, Death Prophet is healed in proportion to the damage dealt. Lasts %abilityduration% seconds."
5190,Stifling Dagger,"Throws a dagger slowing the enemy unit's movement speed, dealing %base_damage%+%attack_factor_tooltip%%% of Phantom Assassin's attack damage as physical damage and applying attack effects from items and abilities."
5191,Phantom Strike,"Teleports to a unit, friendly or enemy, and grants bonus attack speed while attacking if it's an enemy unit."
5192,Blur,"Phantom Assassin focuses inward, increasing her ability to evade enemy attacks. Can be activated to blur her body, causing her to be impossible to see until near enemy heroes.

Stacks diminishingly with other sources of Evasion."
662,Fan of Knives,"Phantom Assassin releases sharp blades around her in a 550 AoE, dealing 16% of a victim's max health on impact and applying break for 3 seconds."
5193,Coup de Grace,"Phantom Assassin refines her combat abilities, gaining a chance of delivering a devastating critical strike to enemy units. Stifling Dagger shares the same critical strike chance."
5186,Nether Blast,An exploding pulse deals damage to enemies and structures in the area.  Deals half damage to structures.
5187,Decrepify,A powerful banishing spell that slows a unit and renders it unable to attack or be attacked. Afflicted units take extra magic damage.
5188,Nether Ward,Pugna places a Nether Ward at the target location. The ward will fire at any enemy hero who casts a spell dealing base damage plus the damage multiplier of the mana spent by the enemy hero. Nether Ward heals 25% of its total health every time it triggers.
5189,Life Drain,"CHANNELED - When cast on an enemy, Pugna drains health from the target enemy unit to heal himself and granting vision over the target. If Pugna has full HP, and the enemy target is a Hero, Life Drain will restore mana instead.

When cast on an ally, Pugna will drain his own health into his ally."
5194,Refraction,"Templar Assassin becomes highly elusive, avoiding damage and gaining a bonus to her damage.  The damage and avoidance effects are separate, and have a limited number of instances."
5195,Meld,"Templar Assassin conceals herself, becoming invisible as long as she remains still.  If Meld's invisibility is broken by attacking an enemy, Lanaya will deal bonus damage to the enemy and reduce their armor for %abilityduration% seconds."
5196,Psi Blades,"Templar Assassin's psi blades slice through the attacked unit, splitting and damaging enemy units directly behind it, while gaining bonus attack range. For each unit it damages, the spill damage is reduced by a percentage."
